latitude,longitude,Presence
-34.96008364,138.7130874,1
-34.949875,138.644684,1
-34.905263,138.712428,1
-34.910748,138.729732,1
-34.77,138.68,1
-34.96135419,138.7140404,1
-35.01357495,138.7325835,1
-35.01460303,138.7368536,1
-34.90314787,138.7040462,1
-35.36224168,138.4979961,1
-34.91432068,138.7085057,1
-34.98226196,138.7418987,1
-34.98549264,138.7429679,1
-35.0635056,138.6517284,1
-35.01305651,138.7426472,1
-35.00526194,138.7291681,1
-34.922005,138.694785,1
-35.04715894,138.7788899,1
-34.960326,138.689141,1
-34.959166,138.682538,1
-35.7910393,137.2643852,1
-35.04043267,138.5191333,1
-34.94412766,138.8146192,1
-34.935891,138.696028,1
-34.7141323,138.7935034,1
-34.71412348,138.7935034,1
-34.92409107,138.8068789,1
-34.934261,138.694837,1
-34.93469,138.695518,1
-34.934256,138.694652,1
-35.0215093,138.6197591,1
-34.858336,138.721283,1
-34.96017596,138.7117622,1
-34.94337564,138.8148859,1
-34.83398993,138.746881,1
-34.80828901,138.6189078,1
-34.899492,138.697716,1
-34.90336784,138.7022974,1
-34.957276,138.681846,1
-34.960428,138.688047,1
-34.98077495,138.7354873,1
-34.903216,138.706732,1
-35.01358373,138.7325835,1
-35.01553444,138.6699449,1
-35.01581123,138.6693137,1
-34.8044184,138.7225378,1
-35.01930393,138.6636471,1
-34.959878,138.686425,1
-35.1054889,138.5731601,1
-34.902588,138.701629,1
-34.9453413,138.8147909,1
-35.01605287,138.6595379,1
-34.957242,138.681769,1
-34.962215,138.686074,1
-34.957771,138.674968,1
-35.03923274,138.6044332,1
-34.934369,138.703767,1
-35.01892611,138.6656282,1
-35.045661,138.596418,1
-35.16996813,138.8377663,1
-34.998584,138.752004,1
-35.007663,138.687306,1
-34.98085548,138.7418987,1
-35.00336701,138.6456513,1
-34.960294,138.689134,1
-34.931085,138.685117,1
-34.95230618,138.814233,1
-34.94456721,138.722689,1
-34.9455346,138.7214981,1
-34.89148625,138.6829912,1
-34.95815,138.685502,1
-34.8861111,138.6402778,1
-35.0420194,138.62175,1
-35.0054355,138.72938,1
-34.8337222,138.7462472,1
-34.8312423,138.7489839,1
-34.959827,138.686151,1
-34.959685,138.684085,1
-34.922862,138.686917,1
-35.005999,138.686589,1
-34.94768058,138.8137609,1
-34.958064,138.686438,1
-34.939016,138.70681,1
-34.958301,138.686715,1
-34.934034,138.70358,1
-34.93601,138.705372,1
-34.936353,138.705558,1
-34.922052,138.694766,1
-34.958363,138.686784,1
-34.925921,138.689321,1
-34.925786,138.688938,1
-34.98029147,138.7349724,1
-34.98552614,138.6429208,1
-34.98612387,138.6425077,1
-34.958171,138.686654,1
-34.900323,138.69958,1
-34.949875,138.644684,1
-34.933403,138.702955,1
-34.903209,138.706547,1
-35.028896,138.738152,1
-34.90320506,138.7054637,1
-34.918652,138.739144,1
-34.82366825,138.7650222,1
-34.8718083,138.7059944,1
-34.9881444,138.7309111,1
-34.8717833,138.706025,1
-34.8717194,138.7061,1
-34.8427152,138.8336883,1
-34.8720194,138.7059778,1
-35.015547,138.603001,1
-35.018036,138.606605,1
-34.89629761,138.6213925,1
-34.94608865,138.7209914,1
-34.9804497,138.7360094,1
-34.98076616,138.7356697,1
-35.01743239,138.7176453,1
-34.9501083,138.6701056,1
-35.01752904,138.6580037,1
-35.13,138.89,1
-35.0249839,138.5848429,1
-34.80832649,138.7199779,1
-34.80828245,138.7199135,1
-34.9237315,138.8075973,1
-34.91464072,138.7083747,1
-34.918578,138.73936,1
-35.01931272,138.6645339,1
-35.01578048,138.6597488,1
-34.96088378,138.712905,1
-34.936272,138.705542,1
-34.997637,138.751413,1
-34.933427,138.702952,1
-34.83099571,135.6868172,1
-34.98045849,138.7359594,1
-34.95323597,138.6556263,1
-34.94583361,138.8155711,1
-34.949875,138.644684,1
-34.960448,138.688346,1
-35.0183462,138.659663,1
-34.918606,138.739259,1
-34.951661,138.649697,1
-35.010789,138.646687,1
-34.958069,138.676111,1
-34.927277,138.690133,1
-34.927018,138.688855,1
-34.960046,138.687198,1
-34.960493,138.688269,1
-34.876156,138.698543,1
-35.0707583,138.6080333,1
-35.01892611,138.6614225,1
-34.933808,138.703357,1
-35.005043,138.643695,1
-34.936021,138.696098,1
-34.96,138.73,1
-35.005996,138.761183,1
-35.005843,138.762322,1
-35.005843,138.762322,1
-35.03,138.61,1
-34.9337056,138.673125,1
-34.9334972,138.6729889,1
-34.8613667,138.6993417,1
-34.96720992,138.6400795,1
-34.863355,138.6763048,1
-35.024363,138.745098,1
-35.02224578,138.7405963,1
-34.92158397,138.7111259,1
-35.02557086,138.5659215,1
-34.9938611,138.6218417,1
-34.8640977,138.7210329,1
-34.86521129,138.7297897,1
-34.86348588,138.7227945,1
-34.93633621,138.6680406,1
-35.03656314,138.7541591,1
-34.8,138.73,1
-35.00906089,138.614494,1
-35.0305508,138.7412095,1
-35.0089917,138.6341083,1
-35.005275,138.6434639,1
-35.0051,138.6437528,1
-35.0047806,138.6443333,1
-35.01061364,138.7400965,1
-35.01057234,138.7400214,1
-35,138.74,1
-34.803944,138.731311,1
-35.0351423,138.6756247,1
-34.84276057,138.6687469,1
-35.05424027,138.7606186,1
-34.95057188,138.6942204,1
-34.95093506,138.6940842,1
-34.92320365,138.6511747,1
-35.05079847,138.5825364,1
-34.87808555,138.7075572,1
-35.0611957,138.7245773,1
-35.08,138.6,1
-34.9478444,138.6750944,1
-34.9442361,138.6720722,1
-34.9383889,138.6701361,1
-34.91174486,138.7081071,1
-34.96963649,138.7674952,1
-34.97041544,138.7684964,1
-34.90338104,138.7023512,1
-34.90311707,138.7031773,1
-34.90322266,138.7027957,1
-34.90328865,138.7065239,1
-34.90320946,138.7043031,1
-34.90255834,138.7014224,1
-34.96389222,138.6894154,1
-35.00563718,138.7216054,1
-34.91173342,138.7079261,1
-34.94954826,138.6876139,1
-35.0113962,138.7752355,1
-34.99672836,138.7209699,1
-34.9085167,138.8301556,1
-34.99674594,138.7210078,1
-34.99741389,138.7199349,1
-35.085,138.5711111,1
-35.02,138.71,1
-35.02664118,138.6318117,1
-35.0271815,138.631919,1
-35.00855824,138.6365538,1
-34.70842162,138.808136,1
-35.00368975,138.6434417,1
-35.00368975,138.6434417,1
-35.0119639,138.7429806,1
-35.0304699,138.7401699,1
-34.9031879,138.7024673,1
-34.90318834,138.7026762,1
-34.90310431,138.7024432,1
-34.95026579,138.6925852,1
-34.95644228,138.7026082,1
-35.0098118,138.7379839,1
-34.95077487,138.6922552,1
-35.01643734,138.7308797,1
-34.94031057,138.7385283,1
-35.08395558,138.5980225,1
-34.8445836,138.7102235,1
-34.990548,138.634943,1
-34.98849275,138.7310117,1
-34.98861581,138.7308133,1
-34.87953563,138.64848,1
-34.93814874,138.855512,1
-34.96418539,138.6301231,1
-34.9174778,138.6949167,1
-34.960132,138.7109612,1
-34.84287504,138.7192905,1
-34.88212011,138.8877279,1
-34.935846,138.70535,1
-34.98538111,138.6430388,1
-34.87615,138.69852,1
-34.8142,138.730605,1
-34.936011,138.705366,1
-35.009834,138.625108,1
-34.930494,138.684514,1
-34.928966,138.691954,1
-34.929441,138.691786,1
-34.929588,138.691263,1
-34.93008,138.690179,1
-34.927791,138.691018,1
-34.927176,138.690182,1
-34.925843,138.689033,1
-34.925927,138.689451,1
-34.923402,138.695728,1
-34.92234,138.696784,1
-34.923352,138.696534,1
-34.923896,138.695642,1
-34.920976,138.6941,1
-34.887033,138.838362,1
-34.88708,138.838641,1
-34.821639,138.883947,1
-35.067025,138.60788,1
-34.954298,138.729628,1
-35.018548,138.679863,1
-34.991946,138.680018,1
-34.992115,138.679358,1
-34.992072,138.680129,1
-34.992093,138.680124,1
-35.005274,138.637929,1
-35.005229,138.637928,1
-35.006263,138.637887,1
-35.006271,138.640374,1
-35.006135,138.641312,1
-35.005272,138.64343,1
-35.00499,138.643847,1
-35.005482,138.646759,1
-35.005444,138.646768,1
-35.00597,138.647483,1
-35.009023,138.652029,1
-35.011359,138.652957,1
-35.012102,138.655216,1
-35.012016,138.655228,1
-35.007296,138.661388,1
-35.007502,138.660731,1
-35.007595,138.6599,1
-35.00717,138.65937,1
-35.006819,138.659508,1
-35.00677,138.659522,1
-35.005424,138.660109,1
-35.004734,138.659135,1
-35.004399,138.649645,1
-35.004434,138.646534,1
-35.004347,138.645794,1
-35.01448,138.652124,1
-35.015605,138.652893,1
-35.016233,138.653394,1
-35.016944,138.658016,1
-35.01542,138.657661,1
-35.015089,138.656345,1
-35.014711,138.656821,1
-35.014276,138.656959,1
-35.01424,138.656955,1
-35.012593,138.655736,1
-35.012638,138.655747,1
-35.011765,138.651963,1
-35.008632,138.648022,1
-35.008624,138.648025,1
-34.913517,138.699854,1
-34.911606,138.698954,1
-34.909314,138.69958,1
-34.910626,138.704883,1
-34.910905,138.704927,1
-34.91136,138.704205,1
-34.913835,138.701317,1
-35.005502,138.728041,1
-35.005527,138.727991,1
-35.008661,138.742267,1
-34.968535,138.656505,1
-34.966803,138.655077,1
-34.966815,138.654866,1
-34.964032,138.656868,1
-34.965627,138.656767,1
-35.030235,138.656549,1
-35.030198,138.656413,1
-35.029746,138.656433,1
-35.029043,138.657,1
-35.030754,138.657184,1
-35.028958,138.656433,1
-35.02861,138.656144,1
-34.999227,138.688182,1
-35.011019,138.633406,1
-35.011179,138.629647,1
-35.014951,138.628394,1
-35.952429,136.736547,1
-35.949828,136.739608,1
-35.949958,136.739417,1
-34.696244,138.83793,1
-35.007916,138.736312,1
-34.93459,138.703544,1
-34.934959,138.704212,1
-34.935104,138.7044,1
-34.936231,138.705598,1
-34.950497,138.678264,1
-34.951117,138.679131,1
-34.951189,138.671759,1
-34.949701,138.675292,1
-34.953818,138.682141,1
-34.954093,138.684122,1
-34.953965,138.685198,1
-34.953499,138.686078,1
-34.95372,138.688604,1
-34.954256,138.690092,1
-34.95585,138.692726,1
-34.95611,138.693319,1
-34.956345,138.693644,1
-34.956303,138.693672,1
-34.956246,138.693683,1
-34.957269,138.694378,1
-34.957819,138.694816,1
-34.957819,138.694816,1
-34.95779,138.694787,1
-34.958084,138.695882,1
-34.958666,138.696951,1
-34.95871,138.698087,1
-34.958746,138.69809,1
-34.958693,138.698841,1
-34.959369,138.700078,1
-34.96171,138.700798,1
-34.963109,138.700416,1
-34.965614,138.70433,1
-34.964841,138.701354,1
-34.964187,138.700254,1
-34.964196,138.700303,1
-34.964236,138.700252,1
-34.961959,138.694987,1
-34.961499,138.693634,1
-34.959122,138.692123,1
-34.959295,138.691523,1
-34.958675,138.690001,1
-34.95681,138.686671,1
-34.957101,138.68648,1
