ID,latitude,longitude
199,-34.97041544,138.7684964
200,-34.90338104,138.7023512
201,-34.90311707,138.7031773
202,-34.90322266,138.7027957
203,-34.90328865,138.7065239
204,-34.90320946,138.7043031
205,-34.90255834,138.7014224
206,-34.96389222,138.6894154
207,-35.00563718,138.7216054
208,-34.91173342,138.7079261
209,-34.94954826,138.6876139
210,-35.0113962,138.7752355
211,-34.99672836,138.7209699
212,-34.9085167,138.8301556
213,-34.99674594,138.7210078
214,-34.99741389,138.7199349
215,-35.085,138.5711111
216,-35.02,138.71
217,-35.02664118,138.6318117
218,-35.0271815,138.631919
219,-35.00855824,138.6365538
220,-34.70842162,138.808136
221,-35.00368975,138.6434417
222,-35.00368975,138.6434417
223,-35.0119639,138.7429806
224,-35.0304699,138.7401699
225,-34.9031879,138.7024673
226,-34.90318834,138.7026762
227,-34.90310431,138.7024432
228,-34.95026579,138.6925852
229,-34.95644228,138.7026082
230,-35.0098118,138.7379839
231,-34.95077487,138.6922552
232,-35.01643734,138.7308797
233,-34.94031057,138.7385283
234,-35.08395558,138.5980225
235,-34.8445836,138.7102235
236,-34.990548,138.634943
237,-34.98849275,138.7310117
238,-34.98861581,138.7308133
239,-34.87953563,138.64848
240,-34.93814874,138.855512
241,-34.96418539,138.6301231
242,-34.9174778,138.6949167
243,-34.960132,138.7109612
244,-34.84287504,138.7192905
245,-34.88212011,138.8877279
246,-34.935846,138.70535
247,-34.98538111,138.6430388
248,-34.87615,138.69852
249,-34.8142,138.730605
250,-34.936011,138.705366
251,-35.009834,138.625108
252,-34.930494,138.684514
253,-34.928966,138.691954
254,-34.929441,138.691786
255,-34.929588,138.691263
256,-34.93008,138.690179
257,-34.927791,138.691018
258,-34.927176,138.690182
259,-34.925843,138.689033
260,-34.925927,138.689451
261,-34.923402,138.695728
262,-34.92234,138.696784
263,-34.923352,138.696534
264,-34.923896,138.695642
265,-34.920976,138.6941
266,-34.887033,138.838362
267,-34.88708,138.838641
268,-34.821639,138.883947
269,-35.067025,138.60788
270,-34.954298,138.729628
271,-35.018548,138.679863
272,-34.991946,138.680018
273,-34.992115,138.679358
274,-34.992072,138.680129
275,-34.992093,138.680124
276,-35.005274,138.637929
277,-35.005229,138.637928
278,-35.006263,138.637887
279,-35.006271,138.640374
280,-35.006135,138.641312
281,-35.005272,138.64343
282,-35.00499,138.643847
283,-35.005482,138.646759
284,-35.005444,138.646768
285,-35.00597,138.647483
286,-35.009023,138.652029
287,-35.011359,138.652957
288,-35.012102,138.655216
289,-35.012016,138.655228
290,-35.007296,138.661388
291,-35.007502,138.660731
292,-35.007595,138.6599
293,-35.00717,138.65937
294,-35.006819,138.659508
295,-35.00677,138.659522
296,-35.005424,138.660109
297,-35.004734,138.659135
298,-35.004399,138.649645
299,-35.004434,138.646534
300,-35.004347,138.645794
301,-35.01448,138.652124
302,-35.015605,138.652893
303,-35.016233,138.653394
304,-35.016944,138.658016
305,-35.01542,138.657661
306,-35.015089,138.656345
307,-35.014711,138.656821
308,-35.014276,138.656959
309,-35.01424,138.656955
310,-35.012593,138.655736
311,-35.012638,138.655747
312,-35.011765,138.651963
313,-35.008632,138.648022
314,-35.008624,138.648025
315,-34.913517,138.699854
316,-34.911606,138.698954
317,-34.909314,138.69958
318,-34.910626,138.704883
319,-34.910905,138.704927
320,-34.91136,138.704205
321,-34.913835,138.701317
322,-35.005502,138.728041
323,-35.005527,138.727991
324,-35.008661,138.742267
325,-34.968535,138.656505
326,-34.966803,138.655077
327,-34.966815,138.654866
328,-34.964032,138.656868
329,-34.965627,138.656767
330,-35.030235,138.656549
331,-35.030198,138.656413
332,-35.029746,138.656433
333,-35.029043,138.657
334,-35.030754,138.657184
335,-35.028958,138.656433
336,-35.02861,138.656144
337,-34.999227,138.688182
338,-35.011019,138.633406
339,-35.011179,138.629647
340,-35.014951,138.628394
341,-35.952429,136.736547
342,-35.949828,136.739608
343,-35.949958,136.739417
344,-34.696244,138.83793
345,-35.007916,138.736312
346,-34.93459,138.703544
347,-34.934959,138.704212
348,-34.935104,138.7044
349,-34.936231,138.705598
350,-34.950497,138.678264
351,-34.951117,138.679131
352,-34.951189,138.671759
353,-34.949701,138.675292
354,-34.953818,138.682141
355,-34.954093,138.684122
356,-34.953965,138.685198
357,-34.953499,138.686078
358,-34.95372,138.688604
359,-34.954256,138.690092
360,-34.95585,138.692726
361,-34.95611,138.693319
362,-34.956345,138.693644
363,-34.956303,138.693672
364,-34.956246,138.693683
365,-34.957269,138.694378
366,-34.957819,138.694816
367,-34.957819,138.694816
368,-34.95779,138.694787
369,-34.958084,138.695882
370,-34.958666,138.696951
371,-34.95871,138.698087
372,-34.958746,138.69809
373,-34.958693,138.698841
374,-34.959369,138.700078
375,-34.96171,138.700798
376,-34.963109,138.700416
377,-34.965614,138.70433
378,-34.964841,138.701354
379,-34.964187,138.700254
380,-34.964196,138.700303
381,-34.964236,138.700252
382,-34.961959,138.694987
383,-34.961499,138.693634
384,-34.959122,138.692123
385,-34.959295,138.691523
386,-34.958675,138.690001
387,-34.95681,138.686671
388,-34.957101,138.68648
389,-34.955478,138.680771
390,-34.954961,138.676505
391,-34.956513,138.682721
392,-34.958115,138.686597
393,-34.958136,138.686761
394,-34.959948,138.686439
395,-34.959865,138.686075
396,-34.959569,138.68478
397,-34.958451,138.679334
398,-34.959369,138.67785
399,-34.960296,138.679172
400,-34.962988,138.681055
401,-34.962745,138.681625
402,-34.961897,138.683427
403,-34.962598,138.686654
404,-34.963326,138.698286
405,-34.963259,138.698231
406,-34.963173,138.697802
407,-34.962952,138.698168
408,-34.960504,138.710076
409,-34.960273,138.709831
410,-34.960285,138.709809
411,-34.960161,138.709655
412,-34.959954,138.709203
413,-34.956319,138.699388
414,-34.9566,138.697209
415,-34.957049,138.697586
416,-34.957099,138.697654
417,-34.957108,138.697644
418,-34.955024,138.698721
419,-34.954799,138.698502
420,-34.954453,138.697832
421,-34.954453,138.697832
422,-34.954203,138.697311
423,-34.956099,138.695715
424,-34.956088,138.695691
425,-34.957792,138.696806
426,-34.958032,138.697431
427,-34.958141,138.697918
428,-34.958141,138.697918
429,-34.958078,138.697425
430,-34.957158,138.696348
431,-34.957362,138.695307
432,-34.957262,138.694874
433,-34.95757,138.694882
434,-34.95757,138.694882
435,-34.957762,138.695063
436,-34.953882,138.689355
437,-34.953454,138.685959
438,-34.953687,138.685832
439,-34.949715,138.67565
440,-34.972298,138.664781
441,-34.972658,138.669363
442,-34.975245,138.672619
443,-34.974439,138.673194
444,-34.973181,138.679616
445,-34.973118,138.67957
446,-34.972595,138.679165
447,-34.97106,138.677628
448,-34.962917,138.670125
449,-34.966731,138.654777
450,-34.965287,138.665144
451,-34.965289,138.665199
452,-34.964298,138.665819
453,-34.965635,138.656578
454,-34.962982,138.657998
455,-34.963052,138.660255
456,-34.964751,138.673224
457,-34.964742,138.673242
458,-34.978806,138.686499
459,-34.981007,138.672177
460,-34.977133,138.675766
461,-34.97614,138.674725
462,-34.97366,138.666494
463,-35.01026,138.640032
464,-35.000518,138.751616
465,-34.999562,138.75149
466,-34.998268,138.750872
467,-34.997986,138.750714
468,-34.997397,138.751052
469,-34.997411,138.751071
470,-34.997698,138.751801
471,-35.084921,138.613707
472,-35.084287,138.613402
473,-35.084341,138.613391
474,-35.084274,138.613316
475,-34.871491,138.707816
476,-34.872264,138.706027
477,-34.872271,138.705727
478,-34.872342,138.705515
479,-34.872401,138.704876
480,-34.872377,138.704973
481,-34.903228,138.702514
